budget,planner,baseline,n,mean_delta,median_delta,positive_fraction,min_delta,max_delta,bootstrap_mean_delta_low,bootstrap_mean_delta_high
64,uct_mcts,static_rollout_pool,20,-0.011146456190923892,-2.7921480246106967e-05,0.2,-1.198052660788509,0.4384971866724072,-0.1744335192034672,0.11463994250276258
64,value_mcts,static_rollout_pool,20,0.10437040894293936,-6.566930030871276e-06,0.4,-1.3513225466561671,1.686381608073944,-0.15456395470601642,0.38155591523374693
64,uncertainty_mcts,static_rollout_pool,20,-0.011146456190923892,-2.7921480246106967e-05,0.2,-1.198052660788509,0.4384971866724072,-0.15967437859650244,0.114524244948401
64,conservative_mcts,static_rollout_pool,20,-0.011146456190923892,-2.7921480246106967e-05,0.2,-1.198052660788509,0.4384971866724072,-0.1740173310483411,0.1145243982471824
128,uct_mcts,static_rollout_pool,20,-0.08213917198687212,-0.000334114074929559,0.25,-2.2607436881303826,0.43832635924778884,-0.3440685826621618,0.08841473656803324
128,value_mcts,static_rollout_pool,20,0.19132493590041239,-2.1353585845318435e-05,0.35,-2.2626489060276107,5.656177336746367,-0.3045755632638674,0.876433138698246
128,uncertainty_mcts,static_rollout_pool,20,-0.08213917198687212,-0.000334114074929559,0.25,-2.2607436881303826,0.43832635924778884,-0.34171518634645087,0.08725191805075744
128,conservative_mcts,static_rollout_pool,20,-0.08213917198687212,-0.000334114074929559,0.25,-2.2607436881303826,0.43832635924778884,-0.33798597063504215,0.0875147425995756
256,uct_mcts,static_rollout_pool,20,-0.01788031553231555,-0.010228575990742783,0.25,-0.23067172502686617,0.40820059121963936,-0.06701282970949812,0.03935089545646875
256,value_mcts,static_rollout_pool,20,-0.026251587354253036,-0.01370746376373333,0.25,-0.6691682306560551,0.4260961030759045,-0.115600857990291,0.052220460237500856
256,uncertainty_mcts,static_rollout_pool,20,-0.02517300496993302,-0.00516550378503311,0.25,-0.23067172502686617,0.1107967852276186,-0.06496289803128932,0.007402914748421826
256,conservative_mcts,static_rollout_pool,20,-0.02517300496993302,-0.00516550378503311,0.25,-0.23067172502686617,0.1107967852276186,-0.06354491053338156,0.008019774978686752
512,uct_mcts,static_rollout_pool,20,-0.182616013006401,-0.0009423152410032998,0.3,-2.549996362265068,0.8447416307344682,-0.5258422970042387,0.08465190682456346
512,value_mcts,static_rollout_pool,20,0.18933289946848744,-0.0002167937261017272,0.45,-2.6736988364710683,6.015252199212242,-0.37304802626278094,0.9526560678995938
512,uncertainty_mcts,static_rollout_pool,20,0.07665813630356606,-4.637534328111315e-06,0.45,-2.549996362265068,3.9112691152294516,-0.3995579696380176,0.6087531000868078
512,conservative_mcts,static_rollout_pool,20,-0.01693799954409787,-0.0006900524825859122,0.35,-2.6720037282846327,3.9112691152294516,-0.48425461474552683,0.5128557684817956
1024,uct_mcts,static_rollout_pool,20,0.385913932200343,-0.0003449720379666843,0.2,-3.2339285843708243,7.021467681342628,-0.4195548493212096,1.4626853397879878
1024,value_mcts,static_rollout_pool,20,0.09627344293723353,-0.00028406676111281115,0.4,-3.300679977575566,6.802161061586819,-0.5528796827905209,0.9914523580609256
1024,uncertainty_mcts,static_rollout_pool,20,-0.06464375671793521,-0.0008609993867878529,0.3,-1.5940230020350903,0.6851410792185035,-0.26850122069143356,0.0911526436513639
1024,conservative_mcts,static_rollout_pool,20,-0.03995796805606462,-0.00022947864414568642,0.35,-3.3001965680010095,4.246912599857161,-0.5683319166302204,0.5380466447065224
