dataset,output_tag,reward_bias,budget,planner,baseline,n,mean_delta,median_delta,positive_fraction,max_delta,min_delta
bias_strength_sweep,reward_bias_0.00,0.0,1024,uct_mcts,static_rollout_pool,12,0.44346583007207263,-9.061777648611269e-05,0.3333333333333333,2.5657293178690814,-0.05235029143018721
bias_strength_sweep,reward_bias_0.00,0.0,1024,uncertainty_mcts_240,static_rollout_pool,12,0.005699011731075121,4.457270167179672e-06,0.5,0.15247432852606124,-0.2039613172378658
bias_strength_sweep,reward_bias_0.60,0.6,1024,uct_mcts,static_rollout_pool,12,0.6436423440728158,-0.00024218380485585556,0.25,5.4290783795743955,-1.508610552634801
bias_strength_sweep,reward_bias_0.60,0.6,1024,uncertainty_mcts_240,static_rollout_pool,12,-0.19665794206557674,-0.0005666334098091141,0.25,0.2947241888493366,-2.2978665264573372
bias_strength_sweep,reward_bias_1.15,1.15,1024,uct_mcts,static_rollout_pool,12,0.7476540625066531,-0.0002965229817810666,0.16666666666666666,7.021467681342628,-3.2339285843708243
bias_strength_sweep,reward_bias_1.15,1.15,1024,uncertainty_mcts_240,static_rollout_pool,12,-0.2778330348893257,-0.0008060629586594814,0.25,0.4300951238625057,-3.3001965680010095
bias_strength_sweep,reward_bias_1.80,1.8,1024,uct_mcts,static_rollout_pool,12,0.9367240582754525,-0.00037762689034082086,0.16666666666666666,8.903382310705082,-4.480814571201435
bias_strength_sweep,reward_bias_1.80,1.8,1024,uncertainty_mcts_240,static_rollout_pool,12,-0.32812424630072884,-0.001089020039087174,0.3333333333333333,0.5900789561507942,-4.30999612593526
capture_replay,default,1.15,1024,conservative_mcts,static_rollout_pool,20,-0.03995796805606462,-0.00022947864414568642,0.35,4.246912599857161,-3.3001965680010095
capture_replay,default,1.15,1024,uct_mcts,static_rollout_pool,20,0.385913932200343,-0.0003449720379666843,0.2,7.021467681342628,-3.2339285843708243
capture_replay,default,1.15,1024,uncertainty_mcts_085,static_rollout_pool,20,-0.06464375671793521,-0.0008609993867878529,0.3,0.6851410792185035,-1.5940230020350903
capture_replay,default,1.15,1024,uncertainty_mcts_240,static_rollout_pool,20,-0.2702418885801173,-0.010576285821780829,0.15,0.4300951238625057,-3.3001965680010095
